chunk_0000| An Occurrence at Owl Creek Bridge by Ambrose Bierce. Original narration by Nicholas Krause.| An Occurrence at Owl Creek Bridge by Ambrose Bierce. Original narration by Nicholas Krause.
chunk_0001| A man stood upon a railroad bridge in northern Alabama, looking down into the swift water twenty feet below.| A man stood upon a railroad bridge in northern Alabama, looking down into the swift water twenty feet below.
chunk_0002| The| The
chunk_0003| Slack fell to the level of his knees. Some loose boards laid upon the sleepers supporting the metals of the railway supplied a footing for him and his executioners.| Slack fell to the level of his knees. Some loose boards laid upon the sleepers supporting the metals of the railway supplied a footing for him and his executioners.
chunk_0004| The| The
chunk_0005| platform was an officer in the uniform of his rank, armed. He was a captain. A sentinel at each end of the bridge stood with his rifle in his| platform was an officer in the uniform of his rank, armed. He was a captain. A sentinel at each end of the bridge stood with his rifle in his
chunk_0006| the position known as support, that is to say, vertical, in front of the left shoulder, the hammer resting on the forearm, thrown straight across the chest, a formal| the position known as support, that is to say, vertical, in front of the left shoulder, the hammer resting on the forearm, thrown straight across the chest, a formal
chunk_0007| and unnatural position, enforcing an erect carriage of the body. It did not appear to be the duty of these two men to know what was occurring at the| and unnatural position, enforcing an erect carriage of the body. It did not appear to be the duty of these two men to know what was occurring at the
chunk_0008| They merely blockaded the two ends of the foot planking that traversed it. Beyond one of the sentinels, nobody was in sight. The railroad ran straight away into a forest| They merely blockaded the two ends of the foot planking that traversed it. Beyond one of the sentinels, nobody was in sight. The railroad ran straight away into a forest
chunk_0009| for a hundred yards, then, curving, was lost to view. Doubtless there was an outpost farther along. The other bank of the stream was open ground.| for a hundred yards, then, curving, was lost to view. Doubtless there was an outpost farther along. The other bank of the stream was open ground.
chunk_0010| A gentle acclivity, topped with a stockade of vertical tree trunks, loopholed for rifles, with a single embrasure through, which protruded the muzzle of a brass cannon,| A gentle acclivity, topped with a stockade of vertical tree trunks, loopholed for rifles, with a single embrasure through, which protruded the muzzle of a brass cannon,
chunk_0011| commanding the bridge. Midway of the slope between bridge and fort were the spectators, a single company of infantry in line at parade rest. The butts of the| commanding the bridge. Midway of the slope between bridge and fort were the spectators, a single company of infantry in line at parade rest. The butts of the
chunk_0012| the| the
