File_Name,Transcription,Normalized_Transcription
chunk_000.wav,{'text': ' An Occurrence at Owl Creek Bridge by Ambrose Bierce Original Narration by Nicholas Krause'},{'text': ' An Occurrence at Owl Creek Bridge by Ambrose Bierce Original Narration by Nicholas Krause'}
chunk_001.wav,"{'text': "" A man stood upon a railroad bridge in northern Alabama, looking down into the swift water twenty feet below. The man's hand""}","{'text': "" A man stood upon a railroad bridge in northern Alabama, looking down into the swift water twenty feet below. The man's hand""}"
chunk_002.wav,{'text': ' The Slade'},{'text': ' The Slade'}
chunk_003.wav,{'text': ' The black fell to the level of his knees. Some loose boards laid upon the sleepers supporting the metals of the railway supplied a footing for him and his executioners.'},{'text': ' The black fell to the level of his knees. Some loose boards laid upon the sleepers supporting the metals of the railway supplied a footing for him and his executioners.'}
chunk_004.wav,{'text': ' The Federal Army.'},{'text': ' The Federal Army.'}
chunk_005.wav,"{'text': ' was an officer in the uniform of his rank, armed. He was a captain. A sentinel at each end of the bridge stood with his rifle in his hand,'}","{'text': ' was an officer in the uniform of his rank, armed. He was a captain. A sentinel at each end of the bridge stood with his rifle in his hand,'}"
chunk_006.wav,"{'text': ' the position known as support, that is to say, vertical, in front of the left shoulder, the hammer resting on the forearm, thrown straight across the chest, a formal'}","{'text': ' the position known as support, that is to say, vertical, in front of the left shoulder, the hammer resting on the forearm, thrown straight across the chest, a formal'}"
chunk_007.wav,"{'text': ' and unnatural position, enforcing an erect carriage of the body. It did not appear to be the duty of these two men to know what was occurring at the center of the bridge.'}","{'text': ' and unnatural position, enforcing an erect carriage of the body. It did not appear to be the duty of these two men to know what was occurring at the center of the bridge.'}"
chunk_008.wav,"{'text': ' They merely blockaded the two ends of the foot planking that traversed it. Beyond one of the sentinels, nobody was in sight. The railroad ran straight away into a forest'}","{'text': ' They merely blockaded the two ends of the foot planking that traversed it. Beyond one of the sentinels, nobody was in sight. The railroad ran straight away into a forest'}"
chunk_009.wav,"{'text': ' for a hundred yards, then, curving, was lost to view. Doubtless there was an outpost farther along. The other bank of the stream was open ground,'}","{'text': ' for a hundred yards, then, curving, was lost to view. Doubtless there was an outpost farther along. The other bank of the stream was open ground,'}"
chunk_010.wav,"{'text': ' A gentle acclivity, topped with a stockade of vertical tree trunks, loopholed for rifles, with a single embrasure through, which protruded the muzzle of a brass cannon,'}","{'text': ' A gentle acclivity, topped with a stockade of vertical tree trunks, loopholed for rifles, with a single embrasure through, which protruded the muzzle of a brass cannon,'}"
chunk_011.wav,"{'text': ' commanding the bridge. Midway of the slope between bridge and fort were the spectators, a single company of infantry in line at parade rest, the butts of'}","{'text': ' commanding the bridge. Midway of the slope between bridge and fort were the spectators, a single company of infantry in line at parade rest, the butts of'}"
chunk_012.wav,{'text': ' the'},{'text': ' the'}
chunk_013.wav,"{'text': ' The company faced the bridge, staring.'}","{'text': ' The company faced the bridge, staring.'}"
chunk_014.wav,{'text': ' The captain stood with folded arms.'},{'text': ' The captain stood with folded arms.'}
chunk_015.wav,"{'text': ' silent, observing the work of his subordinates, but making no sign. Death is a dignitary who, when he comes announced, is to be received with formal mannerisms'}","{'text': ' silent, observing the work of his subordinates, but making no sign. Death is a dignitary who, when he comes announced, is to be received with formal mannerisms'}"
chunk_016.wav,"{'text': ' of respect, even by those most familiar with him. In the code of military etiquette, silence and fixity are forms of deference.'}","{'text': ' of respect, even by those most familiar with him. In the code of military etiquette, silence and fixity are forms of deference.'}"
chunk_017.wav,"{'text': ' The man who was engaged in being hanged was apparently about thirty-five years of age. He was a civilian, if one might judge from his habits, which was that of a planter.'}","{'text': ' The man who was engaged in being hanged was apparently about thirty-five years of age. He was a civilian, if one might judge from his habits, which was that of a planter.'}"
chunk_018.wav,"{'text': ' features were good. A straight nose, firm mouth, broad forehead, from which his long, dark hair was combed straight back, falling behind his ears to the collar of his well'}","{'text': ' features were good. A straight nose, firm mouth, broad forehead, from which his long, dark hair was combed straight back, falling behind his ears to the collar of his well'}"
chunk_019.wav,"{'text': ' fitting frock coat. He wore a mustache and pointed beard, but no whiskers. His eyes were large and dark gray, and had a kindly expression which one would'}","{'text': ' fitting frock coat. He wore a mustache and pointed beard, but no whiskers. His eyes were large and dark gray, and had a kindly expression which one would'}"
chunk_020.wav,{'text': ' The liberal military code makes provisions'},{'text': ' The liberal military code makes provisions'}
chunk_021.wav,"{'text': ' The preparations being complete, the two private soldiers stepped aside'}","{'text': ' The preparations being complete, the two private soldiers stepped aside'}"
chunk_022.wav,"{'text': ' and each drew away the plank upon which he had been standing. The sergeant turned to the captain, saluted, and placed himself immediately behind that officer, who in turn moved apart'}","{'text': ' and each drew away the plank upon which he had been standing. The sergeant turned to the captain, saluted, and placed himself immediately behind that officer, who in turn moved apart'}"
chunk_023.wav,"{'text': ' one piece. These movements left the condemned man and the sergeant standing on the two ends of the same plank, which spanned three of the cross-ties of the bridge. The end'}","{'text': ' one piece. These movements left the condemned man and the sergeant standing on the two ends of the same plank, which spanned three of the cross-ties of the bridge. The end'}"
chunk_024.wav,"{'text': ' upon which the civilians stood almost, but not quite, reached a fourth. This plank had been held in place by the weight of the captain. It was now held by that of the sergeant.'}","{'text': ' upon which the civilians stood almost, but not quite, reached a fourth. This plank had been held in place by the weight of the captain. It was now held by that of the sergeant.'}"
chunk_025.wav,"{'text': ' At a signal from the former, the latter would step aside, the plank would tilt, and the condemned man go down between two ties. The arrangement commended'}","{'text': ' At a signal from the former, the latter would step aside, the plank would tilt, and the condemned man go down between two ties. The arrangement commended'}"
chunk_026.wav,"{'text': ' itself to his judgment as simple and effective. His face had not been covered, nor his eyes bandaged. He looked a moment at his unsteadfast footing.'}","{'text': ' itself to his judgment as simple and effective. His face had not been covered, nor his eyes bandaged. He looked a moment at his unsteadfast footing.'}"
chunk_027.wav,"{'text': ' and let his gaze wander to the swirling water of the stream racing madly beneath his feet. A piece of dancing driftwood caught his attention, and his eyes followed it down the'}","{'text': ' and let his gaze wander to the swirling water of the stream racing madly beneath his feet. A piece of dancing driftwood caught his attention, and his eyes followed it down the'}"
chunk_028.wav,{'text': ' current. How slowly it appeared to move! What a sluggish stream! He closed his eyes in order to fix his last thoughts upon his wife and children.'},{'text': ' current. How slowly it appeared to move! What a sluggish stream! He closed his eyes in order to fix his last thoughts upon his wife and children.'}
chunk_029.wav,"{'text': ' The water, touched to gold by the early sun, The brooding mists under the banks at some distance down the stream, The fort, the soldiers, the peace of drift'}","{'text': ' The water, touched to gold by the early sun, The brooding mists under the banks at some distance down the stream, The fort, the soldiers, the peace of drift'}"
chunk_030.wav,"{'text': "" All had distracted him, and now he became conscious of a new disturbance. Striking through the thought of his dear ones was a metallic percussion like the stroke of a blacksmith's""}","{'text': "" All had distracted him, and now he became conscious of a new disturbance. Striking through the thought of his dear ones was a metallic percussion like the stroke of a blacksmith's""}"
chunk_031.wav,"{'text': ' hammer upon the anvil. It had the same ringing quality. He wondered what it was, and whether immeasurably distant or nearby, it seemed both. Its recurrence'}","{'text': ' hammer upon the anvil. It had the same ringing quality. He wondered what it was, and whether immeasurably distant or nearby, it seemed both. Its recurrence'}"
chunk_032.wav,"{'text': ' was regular, but as slow as the tolling of a death-knell. He awaited each stoke with impatience and, he knew not why, apprehension.'}","{'text': ' was regular, but as slow as the tolling of a death-knell. He awaited each stoke with impatience and, he knew not why, apprehension.'}"
chunk_033.wav,"{'text': ' The intervals of silence grew progressively longer. The delays became maddening. With their greater infrequency, the sounds increased in strength and sharpness. They hurt his ear like the'}","{'text': ' The intervals of silence grew progressively longer. The delays became maddening. With their greater infrequency, the sounds increased in strength and sharpness. They hurt his ear like the'}"
chunk_034.wav,{'text': ' thrust of a knife. He feared he would shriek. What he heard was the ticking of his watch. He unclosed his eyes and saw again the water below him.'},{'text': ' thrust of a knife. He feared he would shriek. What he heard was the ticking of his watch. He unclosed his eyes and saw again the water below him.'}
chunk_035.wav,"{'text': ' If I could free my hands, he thought, I might throw off the noose and spring into the stream. By diving, I could evade the bullets, and swimming vigorously...'}","{'text': ' If I could free my hands, he thought, I might throw off the noose and spring into the stream. By diving, I could evade the bullets, and swimming vigorously...'}"
chunk_036.wav,"{'text': ' reach the bank, take to the woods, and get away home. My home, thank God, is as yet outside their lines. My wife and little ones are'}","{'text': ' reach the bank, take to the woods, and get away home. My home, thank God, is as yet outside their lines. My wife and little ones are'}"
chunk_037.wav,"{'text': "" still beyond the invaders farthest advance as these thoughts which have here to be set down in words were flashed into the doomed man's brain""}","{'text': "" still beyond the invaders farthest advance as these thoughts which have here to be set down in words were flashed into the doomed man's brain""}"
chunk_038.wav,"{'text': ' rather than evolved from it, the captain nodded to the sergeant. The sergeant stepped aside. 2. Peyton Farquhar was a'}","{'text': ' rather than evolved from it, the captain nodded to the sergeant. The sergeant stepped aside. 2. Peyton Farquhar was a'}"
chunk_039.wav,"{'text': ' well-to-do planter of an old and highly respected Alabama family. Being a slave owner, and like other slave owners, a politician, he was naturally an original'}","{'text': ' well-to-do planter of an old and highly respected Alabama family. Being a slave owner, and like other slave owners, a politician, he was naturally an original'}"
chunk_040.wav,"{'text': ' The following is a work of fiction. Any resemblance to actual persons, living or dead, is purely coincidental.'}","{'text': ' The following is a work of fiction. Any resemblance to actual persons, living or dead, is purely coincidental.'}"
chunk_041.wav,{'text': ' The End'},{'text': ' The End'}
chunk_042.wav,"{'text': ' of the soldier the opportunity for distinction. That opportunity, he felt, would come as it comes to all in wartime. Meanwhile, he did what he'}","{'text': ' of the soldier the opportunity for distinction. That opportunity, he felt, would come as it comes to all in wartime. Meanwhile, he did what he'}"
chunk_043.wav,"{'text': ' could. No service was too humble for him to perform in aid of the South, no adventure too perilous for him to undertake, if consistent with the character of a civilian who was, at'}","{'text': ' could. No service was too humble for him to perform in aid of the South, no adventure too perilous for him to undertake, if consistent with the character of a civilian who was, at'}"
chunk_044.wav,"{'text': ' heart a soldier, and who in good faith and without too much qualification assented to at least a part of the frankly villainous dictum that all is fair in love and'}","{'text': ' heart a soldier, and who in good faith and without too much qualification assented to at least a part of the frankly villainous dictum that all is fair in love and'}"
chunk_045.wav,"{'text': ' war. One evening while Farquharn and his wife were sitting on a rustic bench near the entrance to his grounds, a gray-clad soldier rode up to the gate and asked for a drink of'}","{'text': ' war. One evening while Farquharn and his wife were sitting on a rustic bench near the entrance to his grounds, a gray-clad soldier rode up to the gate and asked for a drink of'}"
chunk_046.wav,"{'text': ' of water. Mrs. Farquhar was only too happy to serve him with her own white hands. While she was fetching the water, her husband approached the dusty horseman'}","{'text': ' of water. Mrs. Farquhar was only too happy to serve him with her own white hands. While she was fetching the water, her husband approached the dusty horseman'}"
chunk_047.wav,"{'text': ' and inquired eagerly for news from the front. The Yanks are repairing the railroads, said the man, and are getting ready for another advance. They have reached the'}","{'text': ' and inquired eagerly for news from the front. The Yanks are repairing the railroads, said the man, and are getting ready for another advance. They have reached the'}"
chunk_048.wav,"{'text': ' The commandant has issued an order, which is posted everywhere, declaring that any civilian'}","{'text': ' The commandant has issued an order, which is posted everywhere, declaring that any civilian'}"
chunk_049.wav,{'text': ' How far is it to Owl Creek Bridge?'},{'text': ' How far is it to Owl Creek Bridge?'}
chunk_050.wav,{'text': ' Farquhar asked. About thirty miles. Is there no force on this side the creek? Only a picket post half a mile out on the railroad.'},{'text': ' Farquhar asked. About thirty miles. Is there no force on this side the creek? Only a picket post half a mile out on the railroad.'}
chunk_051.wav,"{'text': ' and a single sentinel at this end of the bridge. Suppose a man, a civilian and student of hanging, should elude the picket post and perhaps get the better of the sentinels.'}","{'text': ' and a single sentinel at this end of the bridge. Suppose a man, a civilian and student of hanging, should elude the picket post and perhaps get the better of the sentinels.'}"
chunk_052.wav,"{'text': ' said Fargahar, smiling. What could he accomplish? The soldier reflected. I was there a month ago, he replied.'}","{'text': ' said Fargahar, smiling. What could he accomplish? The soldier reflected. I was there a month ago, he replied.'}"
chunk_053.wav,{'text': ' I observed that the flood of last winter had lodged a great quantity of driftwood against the wooden pier at this end of the bridge. It is now dry and would burn like tow.'},{'text': ' I observed that the flood of last winter had lodged a great quantity of driftwood against the wooden pier at this end of the bridge. It is now dry and would burn like tow.'}
chunk_054.wav,"{'text': ' The lady had now brought the water, which the soldier drank. He thanked her ceremoniously, bowed to her husband, and rode away. An hour later, after nightfall,'}","{'text': ' The lady had now brought the water, which the soldier drank. He thanked her ceremoniously, bowed to her husband, and rode away. An hour later, after nightfall,'}"
chunk_055.wav,"{'text': ' fall, he repassed the plantation, going northward in the direction from which he had come. He was a Federal Scout.'}","{'text': ' fall, he repassed the plantation, going northward in the direction from which he had come. He was a Federal Scout.'}"
chunk_056.wav,"{'text': ' As Paitan Farquhar fell straight downward through the bridge, he lost consciousness and was as one already dead. From this state he was awakened.'}","{'text': ' As Paitan Farquhar fell straight downward through the bridge, he lost consciousness and was as one already dead. From this state he was awakened.'}"
chunk_057.wav,{'text': ' Agony.'},{'text': ' Agony.'}
chunk_058.wav,"{'text': ' knees seemed to shoot from his neck downward through every fiber of his body and limbs. These pains appeared to flash along well-defined lines of ramification,'}","{'text': ' knees seemed to shoot from his neck downward through every fiber of his body and limbs. These pains appeared to flash along well-defined lines of ramification,'}"
