fileName|text_x|normalizedTest_x
chunk_0000| We are what we think. All that we are arises| We are what we think. All that we are arises
chunk_0001| with our thoughts. With our thoughts, we make the world. Buddha.| with our thoughts. With our thoughts, we make the world. Buddha.
chunk_0002| The Illustrious Buddha. This is my simple religion.| The Illustrious Buddha. This is my simple religion.
chunk_0003| There is no need for temples, no need for complicated philosophy. Our own brain, our own heart,| There is no need for temples, no need for complicated philosophy. Our own brain, our own heart,
chunk_0004| is our temple. The philosophy is kindness. Dalai Lama| is our temple. The philosophy is kindness. Dalai Lama
chunk_0005| We've all seen Buddhist statues and monks in robes. We've heard about the Buddha and about meditation. But what| We've all seen Buddhist statues and monks in robes. We've heard about the Buddha and about meditation. But what
chunk_0006| What does it all mean? How do we benefit from Buddhism and what does it mean in our lives? What is Nirvana besides the famous English?| What does it all mean? How do we benefit from Buddhism and what does it mean in our lives? What is Nirvana besides the famous English?
chunk_0007| rock band, and is it possible to reach it? Are all Buddhists vegetarian, and do they worship idols?| rock band, and is it possible to reach it? Are all Buddhists vegetarian, and do they worship idols?
chunk_0008| What are the benefits and dangers of meditation? The book is aimed at| What are the benefits and dangers of meditation? The book is aimed at
chunk_0009| answering these questions and introducing you to the most important concepts of Buddhist thought in a way that makes sense to the average| answering these questions and introducing you to the most important concepts of Buddhist thought in a way that makes sense to the average
chunk_0010| Western reader, and in such a way that it can be easily put into practice. More and more people are| Western reader, and in such a way that it can be easily put into practice. More and more people are
chunk_0011| the ideas related to the Buddha, including mindfulness, inner peace, meditation, contentment,| the ideas related to the Buddha, including mindfulness, inner peace, meditation, contentment,
chunk_0012| passion, and more. Some of this interest is related to recent discoveries in particle science and also| passion, and more. Some of this interest is related to recent discoveries in particle science and also
chunk_0013| new insights into the science of the mind. A scientific inquiry opens up| new insights into the science of the mind. A scientific inquiry opens up
chunk_0014| realms of exploration into the minuscule world of subatomic particles and into the realms of the mind, modern researchers are| realms of exploration into the minuscule world of subatomic particles and into the realms of the mind, modern researchers are
chunk_0015| finding hidden gems in the teachings of the legendary Siddhartha Gautama, the Buddha.| finding hidden gems in the teachings of the legendary Siddhartha Gautama, the Buddha.
chunk_0016| Things that are now coming to light were considered by Buddha 2500 years ago.| Things that are now coming to light were considered by Buddha 2500 years ago.
chunk_0017| What is it all about? What is Buddhism really? Well, first of all, the word Buddha comes from the root| What is it all about? What is Buddhism really? Well, first of all, the word Buddha comes from the root
chunk_0018| which means to awaken. This is an interesting idea. Surely the fact that| which means to awaken. This is an interesting idea. Surely the fact that
chunk_0019| we are conscious means that we're already awake? How can you be reading this sentence if you're asleep? We will take an indefinite| we are conscious means that we're already awake? How can you be reading this sentence if you're asleep? We will take an indefinite
chunk_0020| look at this and many other questions throughout this book. The teachings of Buddha can lead towards a sense of enlightenment,| look at this and many other questions throughout this book. The teachings of Buddha can lead towards a sense of enlightenment,
chunk_0021| for you, no matter what your background, whether you're an atheist, agnostic, a Christian, or a follower| for you, no matter what your background, whether you're an atheist, agnostic, a Christian, or a follower
chunk_0022| of Islam or any other system of belief, the teachings of the Buddha can enrich your life.| of Islam or any other system of belief, the teachings of the Buddha can enrich your life.
chunk_0023| speak to the heart and aren't concerned with dogma or academics. They invite each of us to approach reality| speak to the heart and aren't concerned with dogma or academics. They invite each of us to approach reality
chunk_0024| as it is, for what it is, and to deepen our own experience of being alive on| as it is, for what it is, and to deepen our own experience of being alive on
chunk_0025| this planet. Filled with wisdom and compassion, these teachings echo many of the universities| this planet. Filled with wisdom and compassion, these teachings echo many of the universities
chunk_0026| sentiments put forward by Jesus, Mohammed, Krishna, and even scientists like Albert Einstein| sentiments put forward by Jesus, Mohammed, Krishna, and even scientists like Albert Einstein
chunk_0027| Einstein, Sigmund Freud, and many others who lived before and after his time.| Einstein, Sigmund Freud, and many others who lived before and after his time.
chunk_0028| A great many people have been deeply inspired by his ideas. Ideas about God do not really enter into Buddhism.| A great many people have been deeply inspired by his ideas. Ideas about God do not really enter into Buddhism.
